=== lm_v3_chunked (2-block, chunked sampling from full optim.rail) ===
corpus chars=10901  vocab size=94
corpus encoded to arr (10901 ids)
seq_len=512  max offset=10388
[tgl_init] dylib=$HOME/projects/rail/tools/metal/libtensor_gpu.dylib src_path=$HOME/projects/rail/tools/metal/tensor_gpu.metal
[tgl_init] OK — 38 functions
initial loss (on one sampled chunk)=8.62960223571262  uniform=4.54329478227
training 10000 steps...
step 447  lr=0.0199394353180713  loss=2.00568263864751
step 448  lr=0.019939086094439  loss=3.06145995690851
step 449  lr=0.019938735869941  loss=2.18613344491041
step 450  lr=0.0199383846446125  loss=3.1225616262186
step 451  lr=0.0199380324184891  loss=3.1739996458045
step 452  lr=0.019937679191606  loss=2.10627082202963
step 453  lr=0.0199373249639989  loss=3.33178763845702
step 454  lr=0.0199369697357034  loss=3.03248024468727
step 455  lr=0.0199366135067554  loss=3.07642623932512
step 456  lr=0.0199362562771906  loss=2.07485528522904
step 457  lr=0.0199358980470451  loss=3.33514443165679
step 458  lr=0.019935538816355  loss=2.026471320755
step 459  lr=0.0199351785851563  loss=2.04160022738798
step 460  lr=0.0199348173534855  loss=3.02747255676877
step 461  lr=0.0199344551213788  loss=2.06771611173381
step 462  lr=0.0199340918888728  loss=2.14137912726876
step 463  lr=0.019933727656004  loss=3.13967277797519
step 464  lr=0.019933362422809  loss=1.99768077087806
step 465  lr=0.0199329961893248  loss=3.14159644929723
step 466  lr=0.0199326289555881  loss=3.04237492968599
step 467  lr=0.0199322607216359  loss=2.78538572221253
step 468  lr=0.0199318914875054  loss=3.27207355800291
step 469  lr=0.0199315212532337  loss=3.02166012171152
step 470  lr=0.019931150018858  loss=3.08086665403475
step 471  lr=0.0199307777844158  loss=2.05051600288893
step 472  lr=0.0199304045499446  loss=3.23606364009878
step 473  lr=0.0199300303154819  loss=3.02911237541857
step 474  lr=0.0199296550810654  loss=2.7060390839563
step 475  lr=0.0199292788467329  loss=1.66127121929123
step 476  lr=0.0199289016125223  loss=3.21872215030298
step 477  lr=0.0199285233784716  loss=2.17812493734944
step 478  lr=0.0199281441446188  loss=3.05949048563244
step 479  lr=0.0199277639110022  loss=2.19945067393066
step 480  lr=0.0199273826776601  loss=3.30794980492708
step 481  lr=0.0199270004446308  loss=3.43720605645304
step 482  lr=0.0199266172119528  loss=3.10789132732462
step 483  lr=0.0199262329796647  loss=2.16249648074799
step 484  lr=0.0199258477478053  loss=2.33330431519771
step 485  lr=0.0199254615164132  loss=2.27956308290814
step 486  lr=0.0199250742855275  loss=2.2372960049096
step 487  lr=0.019924686055187  loss=3.23888783044609
